Begrip;Betekenis
Actieve immunisatie;"Proces van immuun worden, waarbij het lichaam zelf de antistoffen maakt. Dit kan natuurlijk gebeuren door het doormaken van een ziekte, of kunstmatig door vaccinatie waarbij een verzwakte ziekteverwekker wordt toegevoegd."
Antibiotica;"Stof die de groei van bacteriën remt of bacteriën doodt."
Antigeen;"Lichaamsvreemde stof of cel, die aanzet tot de vorming van antistoffen."
Antigeen-presenterende cel (APC);"Na fagocytose presenteert een macrofaag stukjes van antigenen op het celmembraan, waardoor deze een antigeen-presenterende cel wordt."
Antiresus;"Antistof tegen het resusantigeen/de resusfactor."
Antistof;"Plasma-eiwit (immunoglobuline) die antigenen bindt."
B-Lymfocyt;"Type lymfocyt dat in het beenmerg wordt geproduceerd en antistoffen produceert."
Beenmerg;"Weefsel in de botten van gewervelden. Rood beenmerg produceert o.a. rode en witte bloedcellen; wit (geel) beenmerg slaat vet op."
Cellulaire afweer;"Deel van de specifieke afweer bedoeld om ziekteverwekkers in besmette lichaamscellen te vernietigen."
Cytokinen;"Eiwitten met een regulerende functie die een rol spelen in het afweersysteem."
Cytotoxische T-cel;"Tc-cel; type lymfocyt dat besmette lichaamscellen vernietigt door enzymen toe te dienen."
Fagocytose;"Insluiten en verteren van ziekteverwekkers door fagocyten (macrofagen en granulocyten)."
Geheugencellen;"Specifieke lymfocyten die bij een herhaalde infectie hetzelfde antigeen herkennen en een snelle afweerreactie mogelijk maken."
Granulocyt;"Type witte bloedcel die aan fagocytose kan doen."
Hemoglobine;"Kleurstof in rode bloedcellen die zuurstof en koolstofdioxide bindt voor transport."
Hemolyse;"Het uiteenvallen van rode bloedcellen door een te lage osmotische waarde of door samenklontering met antistoffen."
HLA-systeem;"Human Leukocyte Antigen-systeem; unieke eiwitten die bij mensen op de cellen aanwezig zijn."
Hoornlaag;"Buitenste laag van de huid, bestaande uit afgestorven en verhoornde opperhuidcellen."
Humorale afweer;"Specifieke afweer bedoeld om ziekteverwekkers in lichaamsvloeistoffen te vernietigen met antistoffen."
Hypothalamus;"Gedeelte van de hersenen dat via neurohormonen de hypofyse aanstuurt en lichaamssystemen reguleert."
Immunisatie;"Het immuun worden voor een bepaalde ziekte, wat betekent dat men tijdelijk of permanent niet meer vatbaar is."
Immunoglobulinen;"Antistoffen."
Immuun;"Weerstand tegen een bepaalde ziekte, actief of passief verworven."
Incubatietijd;"Tijd tussen het binnendringen van een ziekteverwekker en het optreden van de eerste symptomen."
Kiemlaag;"De laag levende epitheelcellen van de opperhuid."
Lederhuid;"Huidlaag met zintuigen, zenuwen, haarspiertjes, bloedvaten en zweetklieren."
Leukocyt;"Witte bloedcel, met veel verschillende typen."
Lymfocyt;"Specifieke witte bloedcellen met een grote kern, betrokken bij afweerreacties."
Macrofaag;"Grote witte bloedcel die ziekteverwekkers kan fagocyteren."
Melanine;"Zwart of donkerbruin pigment in de huid."
Melanocyten;"Pigmentvormende cellen in de huid."
MHC;"Major Histocompatibility Complex; genen die coderen voor componenten van het afweersysteem, zoals antigenen."
MHC-I-receptoreiwitten;"Komen voor op de buitenkant van alle cellen met een celkern."
MHC-II-receptoreiwitten;"Komen voor op de buitenkant van macrofagen en geactiveerde B-cellen."
Milt;"Orgaan in de buikholte dat lymfatisch weefsel bevat en betrokken is bij het afweersysteem."
Opperhuid;"Buitenste laag van de huid, bestaande uit hoornlaag en slijmlaag."
Passieve immunisatie;"Immunisatie door antistoffen die niet zelf zijn gemaakt, verkregen via seruminjectie of van de moeder."
Pathogenen;"Ziekteverwekkers."
Plasmacellen;"Rijpe B-lymfocyten die antistoffen produceren."
Receptoreiwit;"Eiwit aan het celmembraan dat specifieke stoffen, zoals hormonen, kan binden."
Resistent;"Erfelijke weerstand tegen ziekten of middelen."
Resusfactor;"Antigeen op rode bloedcellen; bepaalt of bloed resuspositief of resusnegatief is."
Specifieke afweer;"Afweer gericht tegen een specifieke ziekteverwekker."
Stamcellen;"Cellen in rood beenmerg waaruit rode bloedcellen, witte bloedcellen en bloedplaatjes ontstaan."
T-helpercel;"Type witte bloedcel die B-lymfocyten en T-lymfocyten activeert tijdens specifieke afweer."
T-lymfocyt;"Witte bloedcel die zich in de thymus ontwikkelt en betrokken is bij afweerreacties."
Talg;"Vetachtige stof die haar en huid soepel houdt."
Tc-cellen;"Cytotoxische T-cellen."
Tg-cellen;"T-geheugencellen."
Thymus;"Orgaan betrokken bij de specifieke afweer waar T-lymfocyten worden gevormd."
Vaccin;"Kunstmatig verzwakte ziekteverwekker, gebruikt bij inenting."
Vaccinatie;"Het opwekken van immuniteit via een injectie met een verzwakt antigeen of antistoffen."
